Fecha,"Nombre del dispositivo",Temperatura,"Temperatura minima","Temperatura maxima","Vibracion pico X","Vibracion pico Y","Vibracion pico Z","Vibracion pico pico X","Vibracion pico pico Y","Vibracion pico pico Z","Vibracion RMS X","Vibracion RMS Y","Vibracion RMS Z","Voltaje de la bateria"
"2021-06-15 02:15:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 02:20:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 02:25:06","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 02:30:06","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 02:35:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 02:40:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 02:45:06","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 02:50:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 02:55:06","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 03:00:07","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 03:05:06","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 03:10:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 03:15:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 03:20:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 03:25:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 03:30:07","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 03:35:06","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 03:40:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 03:45:06","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 03:50:06","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 03:55:05","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
"2021-06-15 04:00:07","ROLAND 600 VERTICAL",39.25,39,43.5,0.0153809,0.0114746,0.0136719,0.0256348,0.0212402,0.0263672,0.00341797,0.00341797,0.00439453,3.63
